Like,ml2,Like1
AstraZeneca lupus drug meets main goal in study,29 Aug 2019,"(Reuters) - AstraZeneca Plc (L:AZN) said on Thursday its experimental drug to treat moderate-to-severe lupus, anifrolumab, met its main goal in a late-stage study. 	 The drug..."
London leads European markets lower as investors play waiting game,27 Aug 2019,"(Reuters) - London-listed stocks pushed European shares lower in early dealings on Tuesday, but signs of easing trade tensions between U.S. and China limited market losses. U.S...."
U.S. FDA gives fast track status to AstraZeneca's diabetes drug Farxiga,27 Aug 2019, (Reuters) - AstraZeneca Plc (L:AZN) said on Tuesday that the U.S. Food and Drug Administration has granted fast track status for the development of its diabetes drug Farxiga to...
Should I sell my shares if a recession is imminent?,24 Aug 2019," The FTSE index has had a rough week, with red flashing all over portfolio lists, watch lists and ticker boards. If you’re getting a sinking feeling and contemplating selling..."
AstraZeneca's Imfinzi combination fails advanced lung cancer study,21 Aug 2019, (Reuters) - AstraZeneca (L:AZN) said on Wednesday a combination treatment including its lung cancer drug Imfinzi failed to extend the lives of patients with advanced non-small...
"Worries over global trade, Italy lead FTSE 100 lower",20 Aug 2019, By Shashwat Awasthi and Indranil Sarkar (Reuters) - London's main index ended firmly in the red on Tuesday after new U.S.-China trade jitters and political instability in...
European shares rise for third straight session,20 Aug 2019,"(Reuters) - European shares rose for the third straight session on Tuesday, building on a recovery since late last week as British drugmaker AstraZeneca surged on results of a..."
AstraZeneca's Farxiga clears late-stage heart-failure study,20 Aug 2019, (Reuters) - British drugmaker AstraZeneca Plc (L:AZN) said on Tuesday that its diabetes drug Farxiga was successful in reducing the risk of death by heart attack or the worsening...
Glencore fall hits mining stocks as FTSE steadies,07 Aug 2019, By Shashwat Awasthi (Reuters) - London's FTSE 100 snapped a six-day losing streak after a topsy-turvy session on Wednesday as investors composed themselves after sell-offs...
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.19%,25 Jul 2019,"Investing.com – U.K. equities were lower at the close on Thursday, as losses in the Automobiles & Parts, Electrical and Software & Computer Services sectors propelled shares..."
AstraZeneca guides FTSE 100 higher; buyout powers Cobham,25 Jul 2019, By Shashwat Awasthi and Muvija M (Reuters) - London's FTSE 100 lost ground on Thursday with a slew of negative earnings readings from blue-chips including spirits company ...
AstraZeneca lifts sales outlook after second-quarter cancer drug boost,25 Jul 2019, By Pushkala Aripaka and Ankur Banerjee (Reuters) - AstraZeneca Plc (L:AZN) raised its product sales forecast for 2019 on Thursday after second-quarter results beat analysts'...
GSK forecasts smaller hit to full-year profit after second quarter beat,24 Jul 2019," By Pushkala Aripaka and Ankur Banerjee (Reuters) - GlaxoSmithKline (L:GSK) beat second quarter profit expectations with the help of strong demand for its shingles vaccine,..."
GSK names HSBC's Symonds as non-exec chairman,24 Jul 2019, By Pushkala Aripaka and Noor Zainab Hussain (Reuters) - GlaxoSmithKline (L:GSK) has appointed HSBC's (L:HSBA) Jonathan Symonds to succeed Philip Hampton as non-executive...
Exclusive: Woodford biotech stakes first off block in asset sale - source,17 Jul 2019,"By Pamela Barbaglia, Carolyn Cohn and Douglas Busvine LONDON/FRANKFURT (Reuters) - British fund manager Neil Woodford is looking to kick off the sale of his unlisted biotech..."
"As steep patent cliff looms, Shionogi moves to develop its own U.S. sales staff",17 Jul 2019,"By Takashi Umekawa TOKYO (Reuters) - For much of its 141-year history, Japan's Shionogi & Co Ltd (T:4507) has played safe when selling its drugs in the United States and other..."
"UK's main index sees seventh straight day of losses, BoE comments lift midcaps",12 Jul 2019,"By Shashwat Awasthi and Muvija M (Reuters) - London's FTSE 100 saw its seventh day in the red on Friday, its longest losing streak since 2015, led lower by losses in..."
FTSE 100 hits 10-month high as sterling weakens; Telford soars,03 Jul 2019," By Shashwat Awasthi (Reuters) - Britain's main index rallied to a 10-month high on Wednesday as sterling fell after weak economic data, which aided exporter firms, reinforced..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 1.43%,23 May 2019,"Investing.com – U.K. equities were lower at the close on Thursday, as losses in the Oil Equipment Services & Distribution, Industrial Transportation and Automobiles & Parts sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.58%,29 Mar 2019,"Investing.com – U.K. equities were higher at the close on Friday, as gains in the Construction & Materials, Industrial Engineering and Industrial Transportation sectors propelled..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.34%,14 Feb 2019,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Software & Computer Services, Pharmaceuticals & Biotech and Aerospace & Defense sectors..."
Top 5 Things to Know in The Market on Thursday,14 Feb 2019,"Investing.com - Here are the top five things you need to know in financial markets on Thursday, February 14: 1. Trump Considers 60-Day Extension for China Tariff Deadline  U.S...."
Here’s a dirt cheap way of creating a second income stream through the stock market,26 Jan 2019," 	 		 		 	  	 		 		 	 A second source of income is, of course, a great thing to have. Even better if it can be achieved with little effort. Not only can it help in the event of an..."
"FTSE 100 ends lower for fourth session, Vodafone hits eight-and-a-half-year low",25 Jan 2019," By Muvija M and Shashwat Awasthi (Reuters) - British share indexes posted their first weekly losses of 2019 with the main bourse closing in the red for a fourth straight day, as ..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.85%,25 Jan 2019,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Technology, Basic Materials and Industrials sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.65%,24 Jan 2019,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Technology, Oil & Gas and Consumer Services sectors propelled shares higher. At the close in..."
"Italy drugmaker Zambon ready to splash out in U.S., China push",24 Jan 2019, By Francesca Landini and Stephen Jewkes MILAN (Reuters) - Italian drugmaker Zambon is looking to China and the U.S. to grow its respiratory and nervous system portfolio and could...
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.51%,23 Jan 2019,"Investing.com – Sweden equities were lower at the close on Wednesday, as losses in the Oil & Gas, Telecoms and Industrials sectors propelled shares lower. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.40%,21 Jan 2019,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Consumer Services, Technology and Basic Materials sectors propelled shares lower. At the close..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.96%,14 Jan 2019,"Investing.com – U.K. equities were lower at the close on Monday, as losses in the Pharmaceuticals & Biotech, Oil Equipment Services & Distribution and Mobile Telecommunications..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.50%,14 Jan 2019,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Healthcare, Telecoms and Technology sectors propelled shares lower. At the close in Stockholm,..."
FTSE dips as sterling firms on report of potential Brexit delay,11 Jan 2019," By Muvija M (Reuters) - British blue-chip shares retreated on Friday, singed by a sterling rally on a newspaper report of cabinet ministers saying that Britain would have to delay..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.39%,11 Jan 2019,"Investing.com – U.K. equities were lower at the close on Friday, as losses in the Pharmaceuticals & Biotech, General Industrial and Construction & Materials sectors propelled..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.89%,09 Jan 2019,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Consumer Goods, Basic Materials and Technology sectors propelled shares higher. At the close..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.22%,08 Jan 2019,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Consumer Goods, Industrials and Consumer Services sectors propelled shares higher. At the..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.32%,07 Jan 2019,"Investing.com – Sweden equities were higher at the close on Monday, as gains in the Technology, Healthcare and Consumer Services sectors propelled shares higher. At the close in..."
AstraZeneca picks Baselga to lead oncology R&amp;D in growth plan,07 Jan 2019," By Noor Zainab Hussain and Arathy S Nair (Reuters) - AstraZeneca (L:AZN) said on Monday it had hired José Baselga to head research and development in oncology, an area where the..."
Trade talk rally shortlived for FTSE,07 Jan 2019, (Reuters) - The FTSE 100 fell on Monday after early gains as a weaker dollar and lingering pessimism over the global economy crushed optimism surrounding pivotal U.S.-Sino trade...
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.88%,03 Jan 2019,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Technology, Basic Materials and Industrials sectors propelled shares lower. At the close in..."
FTSE 100 slightly lower in fitting farewell to dim 2018,31 Dec 2018," By Muvija M and Shashwat Awasthi (Reuters) - The UK blue-chip index ended its worst year since the 2008 financial crisis in the red, as a strong pound pulled down exporter shares,..."
Much-awaited holiday cheer finally arrives to UK markets,28 Dec 2018," By Muvija M and Shashwat Awasthi (Reuters) - British shares leaped off multi-year lows on Friday boosted by initial relief spilling over from the United States, where stocks..."
"UK shares at 2-year lows, FTSE 250 flirts with bear market territory",27 Dec 2018," By Muvija M and Shashwat Awasthi (Reuters) - UK shares fell on Thursday to their lowest in over two years, with the mid-cap index closing just shy of confirming a bear market, as..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 2.14%,20 Dec 2018,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Basic Materials, Oil & Gas and Consumer Goods sectors propelled shares lower. At the close in..."
AstraZeneca's ovarian cancer and anaemia treatments meet goals in late-stage studies,20 Dec 2018, (Reuters) - British drugmaker AstraZeneca (L:AZN) (N:AZN) on Thursday said its ovarian cancer and anaemia treatments met their goals in three separate late stage trials.  The...
Pharma industry returns on R&amp;D investment hit 9-year low,19 Dec 2018, LONDON (Reuters) - The cost of developing a new drug has nearly doubled since 2010 and the world's 12 biggest drugmakers are making the lowest return on their R&D...
Poor China data caps turbulent week for FTSE 100 as investors rush for exits,14 Dec 2018," By Helen Reid and Muvija M LONDON (Reuters) - Weak economic data from China sent Britain's top stock index down on Friday as miners, consumer stocks and banks suffered from..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.97%,12 Dec 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Basic Materials, Technology and Industrials sectors propelled shares higher. At the close in..."
AstraZeneca's Imfinzi fails to meet main goals in head and neck cancer study,07 Dec 2018," (Reuters) - AstraZeneca Plc's (L:AZN) immunotherapy treatment Imfinzi did not meet the main goals in a late-stage study for advanced head and neck cancer, the London-listed..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.53%,04 Dec 2018,"Investing.com – Sweden equities were lower at the close on Tuesday, as losses in the Basic Materials, Technology and Oil & Gas sectors propelled shares lower. At the close in..."
GSK buys U.S. cancer drugmaker Tesaro for hefty $5.1 billion,03 Dec 2018," By Ben Hirschler LONDON (Reuters) - GlaxoSmithKline (L:GSK) has agreed to buy U.S. cancer specialist Tesaro (O:TSRO) for $5.1 billion (4 billion pounds), marking a major biotech..."
Biocartis partners with AstraZeneca on lung cancer diagnostics,29 Nov 2018, (Reuters) - Belgian molecular diagnostics company Biocartis Group (BR:BCART) said on Thursday it had entered into an agreement with British drugmaker AstraZeneca (L:AZN) to obtain...
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.41%,26 Nov 2018,"Investing.com – Sweden equities were higher at the close on Monday, as gains in the Telecoms, Oil & Gas and Industrials sectors propelled shares higher. At the close in Stockholm,..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.75%,23 Nov 2018,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Technology, Healthcare and Consumer Goods sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.48%,21 Nov 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Consumer Services, Technology and Oil & Gas sectors propelled shares higher. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.73%,20 Nov 2018,"Investing.com – Sweden equities were lower at the close on Tuesday, as losses in the Oil & Gas, Basic Materials and Technology sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.65%,16 Nov 2018,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Consumer Services, Telecoms and Financials sectors propelled shares higher. At the close in..."
FTSE outperforms European peers as Brexit angst sinks sterling,12 Nov 2018," LONDON (Reuters) - British blue chips outperformed their European peers on Monday as fears about the terms of Brexit sank the pound, giving an accounting boost to stocks with..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.04%,12 Nov 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Consumer Services, Basic Materials and Technology sectors propelled shares lower. At the close..."
AstraZeneca lifts FTSE as U.S. midterm rally fades,08 Nov 2018, By Danilo Masoni and Julien Ponthus MILAN (Reuters) - A strong update by heavyweight drugmaker AstraZeneca (L:AZN) lifted Britain's benchmark index above European peers on...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.44%,08 Nov 2018,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Pharmaceuticals & Biotech, General Retailers and Fixed Line Telecommunications sectors propelled..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.12%,08 Nov 2018,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Oil & Gas, Industrials and Technology sectors propelled shares lower. At the close in..."
AstraZeneca sees years of growth as drug sales turn corner,08 Nov 2018, By Ben Hirschler LONDON (Reuters) - Strong demand for AstraZeneca's (L:AZN) new drugs -- especially those for cancer -- drove a return to sales growth in the third quarter...
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.29%,06 Nov 2018,"Investing.com – Sweden equities were lower at the close on Tuesday, as losses in the Consumer Services, Telecoms and Consumer Goods sectors propelled shares lower. At the close in..."
"AstraZeneca sells older asthma, rhinitis drugs for $350 million",06 Nov 2018, LONDON (Reuters) - AstraZeneca (L:AZN) is selling three older drugs for asthma and rhinitis for at least $350 million (268 million pounds) as the company continues a strategy of...
"Evraz, Micro Focus lead FTSE higher in choppy trade",05 Nov 2018, LONDON (Reuters) - Britain's top share index rose slightly in choppy trade on Monday as leading software group MicroFocus (L:MCRO) surprised with a robust revenue outlook and...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.15%,05 Nov 2018,"Investing.com – U.K. equities were higher at the close on Monday, as gains in the Industrial Metals & Mining, Tobacco and Pharmaceuticals & Biotech sectors propelled shares..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.80%,05 Nov 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Oil & Gas, Basic Materials and Technology sectors propelled shares lower. At the close in..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.19%,01 Nov 2018,"Investing.com – U.K. equities were lower at the close on Thursday, as losses in the Oil & Gas Producers, Oil Equipment Services & Distribution and Pharmaceuticals & Biotech sectors..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.46%,01 Nov 2018,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Oil & Gas, Financials and Industrials sectors propelled shares lower. At the close in..."
Why I think it might finally be time to buy FTSE 100 dividend stock GlaxoSmithKline,31 Oct 2018," 	 		 		 	 In keeping with its tradition of releasing results in time to catch US markets opening, pharmaceuticals giant GlaxoSmithKline (LSE: GSK) revealed its latest trading..."
"AstraZeneca sells some rights to Nexium, Vimovo to Grunenthal",30 Oct 2018,LONDON (Reuters) - AstraZeneca (L:AZN) said it would sell the European rights to acid-reflux medicine Nexium to Grunenthal for an upfront $700 million(546.70 million pounds) and...
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.30%,25 Oct 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Oil & Gas, Consumer Services and Industrials sectors propelled shares higher. At the close in..."
AstraZeneca digs deeper into cancer with Innate stake,23 Oct 2018, By Ben Hirschler and Sudip Kar-Gupta LONDON/PARIS (Reuters) - AstraZeneca (L:AZN) is ploughing deeper into cancer immunotherapy through a wide-ranging deal with  Innate Pharma ...
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.38%,17 Oct 2018,"Investing.com – Sweden equities were lower at the close on Wednesday, as losses in the Oil & Gas, Basic Materials and Financials sectors propelled shares lower. At the close in..."
"Beset by copies, Roche gets sales boost from China",17 Oct 2018, By John Miller ZURICH (Reuters) - Roche's (S:ROG) third-quarter revenue beat analysts' forecasts as new drugs such as Ocrevus for multiple sclerosis picked up pace and...
AstraZeneca will keep UK investment freeze if no Brexit clarity,15 Oct 2018, PARIS (Reuters) - AstraZeneca (L:AZN) will keep its freeze on manufacturing investments in Britain if the country's exit from the European Union fails to give enough clarity...
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.90%,12 Oct 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Telecoms, Technology and Consumer Goods sectors propelled shares lower. At the close in..."
Pfizer to replace longtime CEO Read with veteran Bourla,01 Oct 2018, By Tamara Mathias and Ankur Banerjee (Reuters) -  Pfizer  Inc (N:PFE) Chief Executive Officer Ian Read will hand over the reins of the largest U.S. drugmaker to veteran insider...
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.31%,01 Oct 2018,"Investing.com – Sweden equities were higher at the close on Monday, as gains in the Technology, Healthcare and Financials sectors propelled shares higher. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.84%,28 Sept 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Telecoms, Consumer Goods and Financials sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.09%,27 Sept 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Consumer Services, Healthcare and Telecoms sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.10%,26 Sept 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Financials, Consumer Goods and Consumer Services sectors propelled shares higher. At the..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.10%,25 Sept 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Oil & Gas, Healthcare and Technology sectors propelled shares higher. At the close in..."
AstraZeneca plots China robot offensive to counter price cuts,19 Sept 2018," By Adam Jourdan and Ben Hirschler WUXI, China/LONDON (Reuters) - With smart cancer diagnostics, one-stop-shop diabetes kits and AI systems to improve ambulance pick-ups for..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.19%,13 Sept 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Technology, Industrials and Financials sectors propelled shares higher. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.10%,12 Sept 2018,"Investing.com – Sweden equities were lower at the close on Wednesday, as losses in the Technology, Telecoms and Industrials sectors propelled shares lower. At the close in..."
AstraZeneca gets FDA breakthrough therapy label for asthma treatment,07 Sept 2018, (Reuters) - AstraZeneca Plc (L:AZN) and  Amgen Inc  (O:AMGN) said on Friday the U.S. Food and Drug Administration had granted a breakthrough therapy label for their drug to treat...
French drugmakers urge Brexit negotiators to safeguard supply chain,06 Sept 2018, By Matthias Blamont PARIS (Reuters) - French drugmakers are urging European and British negotiators ahead of a crunch Brexit meeting next month to ensure the free circulation of...
AstraZeneca switches contractor as new headquarter delayed again,22 Aug 2018, LONDON (Reuters) - Drugmaker AstraZeneca (L:AZN) has appointed a new construction manager to finish work on its new flagship headquarters in the English university city of...
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.51%,20 Aug 2018,"Investing.com – Sweden equities were higher at the close on Monday, as gains in the Basic Materials, Technology and Consumer Goods sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.11%,16 Aug 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Basic Materials, Financials and Consumer Goods sectors propelled shares higher. At the close..."
Pfizer bets on biotech flu vaccine in $425 million BioNTech alliance,16 Aug 2018," FRANKFURT (Reuters) -  Pfizer  (N:PFE) has agreed to pay German biotech firm BioNTech up to $425 million (£334.33 million) in an alliance to develop more effective influenza jabs,..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.31%,13 Aug 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Consumer Services, Telecoms and Healthcare sectors propelled shares lower. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.88%,10 Aug 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Consumer Services, Basic Materials and Telecoms sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.53%,09 Aug 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Healthcare, Basic Materials and Industrials sectors propelled shares higher. At the close in..."
FTSE extends gains as oil stocks power ahead; housebuilders fall,08 Aug 2018," By Danilo Masoni MILAN (Reuters) - The UK's top share index was on track for its fourth straight day of gains on Wednesday, helped by continued strength in energy stocks..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.71%,07 Aug 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Oil & Gas, Healthcare and Basic Materials sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.63%,07 Aug 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Oil & Gas, Basic Materials and Industrials sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.11%,06 Aug 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Oil & Gas, Technology and Consumer Goods sectors propelled shares higher. At the close in..."
Sanofi has been stockpiling drugs for no-deal Brexit - WSJ,31 Jul 2018, (Reuters) - French drugmaker Sanofi (PA:SASY) has been making drug-shortage contingency plans for more than a year to prepare for Britain and the European Union failing to reach a...
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.28%,31 Jul 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Oil & Gas, Technology and Basic Materials sectors propelled shares higher. At the close in..."
AstraZeneca's key lung cancer drug wins European panel thumbs-up,27 Jul 2018, (Reuters) - AstraZeneca's (L:AZN) cancer drug Imfinzi has won a key recommendation from a European Medicines Agency (EMA) panel less than six months after the first global...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,26 Jul 2018,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Tobacco, Industrial Metals & Mining and Healthcare Equipment & Services sectors propelled shares..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.98%,26 Jul 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Basic Materials, Industrials and Telecoms sectors propelled shares higher. At the close in..."
Shell slide weighs on FTSE as earnings in focus,26 Jul 2018," By Kit Rees LONDON (Reuters) - A drop in heavyweight oil stocks weighed on the UK's top share index, which failed to join a broader rally across European stocks on Thursday..."
European shares rise as U.S.-EU trade breakthrough spurs carmakers,26 Jul 2018," By Kit Rees LONDON (Reuters) - European stocks jumped in early trade on Thursday following a breakthrough in U.S.-EU trade talks, buoying shares in carmakers as the market also..."
GSK's new R&amp;D head bets on genetics with $300 million 23andMe deal,25 Jul 2018, By Ben Hirschler LONDON (Reuters) - GlaxoSmithKline's (L:GSK) new research boss aims to turbo-charge the British group's drug discovery engine with a $300 million (£228...
EU drug regulators step up work to prepare for 'no deal' Brexit,20 Jul 2018, By Ben Hirschler LONDON (Reuters) - Drug regulators across Europe are hiring extra staff and increasing their workload as the role of British experts in the EU-wide system of...
AstraZeneca to stockpile drugs as Brexit 'safety net',18 Jul 2018," LONDON (Reuters) - AstraZeneca (L:AZN) is increasing stockpiles of those medicines in Britain and Europe that could be affected by Brexit by around 20 percent, in preparation for..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.79%,12 Jul 2018,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Software & Computer Services, Pharmaceuticals & Biotech and Media sectors propelled shares..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.00%,12 Jul 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Healthcare, Consumer Goods and Technology sectors propelled shares higher. At the close in..."
"FTSE 100 recovers, driven by defensives, as trade nerves ebb",12 Jul 2018,"By Helen Reid LONDON (Reuters) - British shares bounced back on Thursday, driven by financial and consumer stocks, as investor worries eased and another bid for pay-TV firm Sky..."
Hitting cancer early - AstraZeneca's bid to outmanoeuvre rivals,06 Jul 2018,"By Ben Hirschler LONDON (Reuters) - AstraZeneca (L:AZN) suffered its biggest daily share price drop a year ago after a key cancer drug trial failed amid feverish speculation the..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 1.71%,22 Jun 2018,"Investing.com – U.K. equities were higher at the close on Friday, as gains in the Oil Equipment Services & Distribution, Oil & Gas Producers and Mining sectors propelled shares..."
Emirates starts London Stansted flights as rival airports near capacity,08 Jun 2018," STANSTED, England (Reuters) - A first Emirates [EMIRA.UL] flight between Dubai and Britain's Stansted Airport touched down on Friday, making it the first scheduled long-haul..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.30%,04 Jun 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Oil & Gas, Industrials and Basic Materials sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.26%,01 Jun 2018,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Basic Materials, Industrials and Oil & Gas sectors propelled shares higher. At the close in..."
EU industry lobby adds to pressure on Britain over Brexit talks,30 May 2018," By Gabriela Baczynska, Robert-Jan Bartunek and Andrew MacAskill BRUSSELS/LONDON (Reuters) - A European industry lobby told Prime Minister Theresa May on Wednesday that Britain..."
AstraZeneca drug Fasenra fails to achieve main goal in COPD trial,30 May 2018, (Reuters) - AstraZeneca's (L:AZN) first respiratory biological medicine Fasenra failed to meet its main target in a second clinical trial treating patients with moderate to...
"Oil weighs on FTSE, Kingfisher shines",25 May 2018," By Julien Ponthus LONDON (Reuters) - A slump in oil prices hit British majors on Friday, limiting the gains of the FTSE 100 benchmark index while  Kingfisher  shone after..."
AstraZeneca cancer drug hits second goal by extending survival,25 May 2018," LONDON (Reuters) - AstraZeneca's (L:AZN) immunotherapy drug Imfinzi has hit a second important goal by improving overall survival in lung cancer patients, boosting prospects..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.38%,23 May 2018,"Investing.com – Sweden equities were lower at the close on Wednesday, as losses in the Oil & Gas, Basic Materials and Financials sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.29%,21 May 2018,"Investing.com – Sweden equities were higher at the close on Monday, as gains in the Oil & Gas, Consumer Services and Consumer Goods sectors propelled shares higher. At the close..."
"AstraZeneca potassium drug finally approved, threatening Vifor",21 May 2018,"LONDON (Reuters) - The decision by U.S. regulators to finally approve AstraZeneca's (L:AZN) much-delayed excess potassium drug Lokelma gives the group another new medicine launch,..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.10%,18 May 2018,"Investing.com – U.K. equities were lower at the close on Friday, as losses in the Mining, Oil Equipment Services & Distribution and Mobile Telecommunications sectors propelled..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.16%,18 May 2018,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Oil & Gas, Industrials and Technology sectors propelled shares higher. At the close in..."
AstraZeneca insists future is bright after big Crestor sales hit,18 May 2018," By Ben Hirschler LONDON (Reuters) - AstraZeneca's (L:AZN) first-quarter profit was hit by generic competition to cholesterol fighter Crestor and higher costs, but the..."
GSK bets on lift from new lung drugs ahead of Advair's last gasp,18 May 2018, By Ben Hirschler LONDON (Reuters) - GlaxoSmithKline (L:GSK) is putting more marketing muscle behind its new lung drugs and is looking for a sales boost as top respiratory experts...
MPs call for post-Brexit pharmaceutical deal with EU,17 May 2018, By Ben Hirschler LONDON (Reuters) - Britain must make a continued form of membership of the European Medicines Agency (EMA) a priority to protect the pharmaceutical industry and...
